date,open,high,low,close,volume
2018-11-20,47.77,49.905,46.83,49.26,13801775
2018-11-21,50.04,51.21,49.86,50.85,10184713
2018-11-23,50.46,51.0,49.72,50.05,5128332
2018-11-26,50.69,51.02,49.99,50.91,9295599
2018-11-27,50.61,50.82,49.8,50.75,7795113
2018-11-28,51.1,51.205,49.98,51.02,8479540
2018-11-29,50.64,52.91,50.6,52.56,9367158
2018-11-30,52.53,52.55,49.26,49.88,14511862
2018-12-03,51.0,51.44,46.45,46.6,30816390
2018-12-04,46.66,48.4,46.34,46.52,22495670
2018-12-06,46.25,48.31,45.5,48.15,18516888
2018-12-07,47.87,48.7699,47.2,47.23,18277425
2018-12-10,47.23,48.37,46.67,47.88,10970403
2018-12-11,48.57,48.86,47.72,48.2,12474126
2018-12-12,49.05,50.22,48.42,48.45,11453591
2018-12-13,48.75,49.26,47.721,48.51,7755190
2018-12-14,47.47,48.45,46.97,47.75,7161356
2018-12-17,47.6,48.42,46.64,47.08,10064952
2018-12-18,47.75,47.85,46.78,47.32,8776092
2018-12-19,47.33,48.12,45.855,46.33,8363273
2018-12-20,46.18,47.7301,45.9301,47.05,9849358
2018-12-21,47.62,47.96,44.96,45.85,19308946
2018-12-24,45.35,46.29,43.92,43.99,6869860
2018-12-26,44.43,46.45,43.71,46.42,12028844
2018-12-27,45.71,47.06,45.21,47.04,7529434
2018-12-28,47.32,47.5851,46.1,46.8,5783802
2018-12-31,47.04,47.32,46.01,46.57,7789604
2019-01-02,45.25,47.51,45.1367,47.03,7245714
2019-01-03,46.44,46.6524,45.0,45.36,8266386
2019-01-04,46.0,47.55,45.13,47.17,9081988
2019-01-07,47.24,49.0799,47.09,48.5,9112144
2019-01-08,49.07,51.105,49.0,49.97,12429131
2019-01-09,50.37,51.41,49.9145,50.83,7769118
2019-01-10,50.5,51.49,50.09,51.35,6416948
2019-01-11,46.38,46.84,44.47,46.54,35424571
2019-01-14,46.07,47.68,45.82,47.29,10183293
2019-01-15,47.33,47.8853,46.62,46.84,8190864
2019-01-16,46.76,47.375,45.86,47.13,9299813
2019-01-17,46.95,47.63,46.41,47.38,7829079
2019-01-18,47.89,49.32,47.84,48.65,10563520
2019-01-22,48.17,48.17,46.82,47.06,8415887
2019-01-23,47.32,47.44,45.63,46.02,8951309
