date,open,high,low,close,volume
2018-10-24,92.4538,96.152,90.7188,91.2244,25121678
2018-10-25,91.4723,92.6819,90.0247,90.9865,21038879
2018-10-26,88.9242,91.2838,87.1495,89.7868,15855206
2018-10-29,92.2853,92.7067,87.7642,89.41,9869445
2018-10-30,90.09,93.14,89.72,92.99,8734290
2018-10-31,94.0,94.43,92.76,92.83,10301104
2018-11-01,93.38,97.99,93.0,97.6,10972488
2018-11-02,97.76,97.9,93.85,95.06,10088028
2018-11-05,94.91,96.02,94.25,95.66,6189403
2018-11-06,95.47,97.24,95.0,97.14,5413092
2018-11-07,97.8,97.97,96.345,97.2,5525735
2018-11-08,96.26,98.79,96.24,98.48,5948258
2018-11-09,98.11,98.13,95.84,96.1,6256483
2018-11-12,95.04,95.14,93.07,93.47,8688663
2018-11-13,94.11,96.17,93.9,94.48,5930840
2018-11-14,95.82,96.27,94.04,94.7,4975202
2018-11-15,94.51,98.43,94.1652,97.96,7689424
2018-11-16,96.63,98.11,96.15,97.85,6766952
2018-11-19,97.5,97.715,94.55,94.62,8265341
2018-11-20,92.91,97.9,92.91,96.84,8230234
2018-11-21,97.75,98.07,95.85,96.13,6437734
2018-11-23,95.37,96.0,95.08,95.1,2066233
2018-11-26,96.41,96.67,95.32,96.38,4687410
2018-11-27,95.49,96.99,95.385,96.28,5044677
2018-11-28,96.7,98.29,95.18,98.26,5659370
2018-11-29,97.99,98.48,97.33,97.43,5938028
2018-11-30,97.78,99.89,96.92,99.85,8685996
2018-12-03,102.5,102.58,100.45,101.17,7828534
2018-12-04,100.76,101.08,95.96,96.11,7487146
2018-12-06,94.11,97.37,93.68,97.32,7329294
2018-12-07,96.67,97.03,92.24,92.38,8837829
2018-12-10,92.44,94.35,91.97,93.8,7549541
2018-12-11,95.76,96.6,94.5,94.54,9942452
2018-12-12,96.79,97.37,95.6,95.81,4945215
2018-12-13,96.24,96.61,95.1,95.84,3647485
2018-12-14,94.66,95.99,94.23,94.26,6318260
2018-12-17,94.28,94.7344,91.48,91.92,8260227
2018-12-18,92.85,95.98,92.72,94.54,7675467
2018-12-19,94.34,94.91,89.54,90.53,9854456
2018-12-20,90.77,91.38,89.2,90.09,9235015
2018-12-21,90.45,93.32,89.87,90.41,14349185
2018-12-24,90.0,90.55,87.76,87.8,5621558
2018-12-26,88.8,93.03,87.7,92.98,8075508
2018-12-27,91.36,93.88,90.55,93.81,5882262
2018-12-28,94.06,95.75,93.08,93.81,5022224
2018-12-31,94.51,95.18,93.72,94.5,4113248
2019-01-02,92.76,95.25,92.46,94.45,6478750
2019-01-03,91.83,92.79,88.68,88.88,11667534
2019-01-04,89.93,93.38,89.47,92.9,7707593
2019-01-07,92.8,95.2185,92.36,94.5,5023940
2019-01-08,95.26,95.64,93.03,94.38,5863487
2019-01-09,95.05,96.49,94.72,96.24,6909388
2019-01-10,95.76,97.94,95.474,97.72,6748468
2019-01-11,97.03,99.07,96.8098,98.59,4738834
2019-01-14,97.31,97.82,95.99,96.33,5060073
2019-01-15,96.99,98.04,96.64,97.63,4690762
2019-01-16,97.68,98.11,97.03,97.17,4559511
2019-01-17,96.12,98.44,95.85,97.54,6872326
2019-01-18,98.44,99.98,97.94,99.42,6677152
2019-01-22,98.43,98.43,95.82,96.62,11068571
2019-01-23,96.87,97.37,94.81,95.49,10298749
